country,date,injuries,,,,
Israel,1971,11,,,,
Israel,1972,72,,,,
Israel,1973,18,,,,
Israel,1974,145,,,,
Israel,1975,62,,,,
Israel,1976,39,,,,
Israel,1977,24,,,,
Israel,1978,259,,,,
Israel,1979,385,,,,
Israel,1980,79,,,,
Israel,1981,28,,,,
Israel,1982,16,,,,
Israel,1983,72,,,,
Israel,1984,90,,,,
Israel,1985,46,,,,
Israel,1986,144,,,,
Israel,1987,62,,,,
Israel,1988,43,,,,
Israel,1989,75,,,,
Israel,1990,192,,,,
Israel,1991,51,,,,
Israel,1992,110,,,,
Israel,1994,198,,,,
Israel,1995,147,,,,
Israel,1996,226,,,,
Israel,1997,448,,,,
Israel,1998,120,,,,
Israel,1999,53,,,,
Israel,2000,119,,,,
Israel,2001,905,,,,
Israel,2002,1519,,,,
Israel,2003,570,,,,
Israel,2004,248,,,,
Israel,2005,251,,,,
Israel,2006,160,,,,
Israel,2007,27,,,,
Israel,2008,240,,,,
Israel,2009,40,,,,
Israel,2010,17,,,,
Israel,2011,77,,,,
Israel,2012,90,,,,
Israel,2013,8,,,,
Israel,2014,152,,,,
Israel,2015,118,,,,
Israel,2016,175,,,,
Israel,2017,15,,,,
United States,1970,160,,,,
United States,1971,55,,,,
United States,1972,35,,,,
United States,1973,33,,,,
United States,1974,54,,,,
United States,1975,158,,,,
United States,1976,41,,,,
United States,1977,17,,,,
United States,1978,8,,,,
United States,1979,58,,,,
United States,1980,22,,,,
United States,1981,15,,,,
United States,1982,37,,,,
United States,1983,5,,,,
United States,1984,780,,,,
United States,1985,13,,,,
United States,1986,36,,,,
United States,1987,1,,,,
United States,1988,1,,,,
United States,1989,14,,,,
United States,1990,7,,,,
United States,1991,4,,,,
United States,1992,3,,,,
United States,1994,16,,,,
United States,1995,738,,,,
United States,1996,119,,,,
United States,1997,18,,,,
United States,1998,3,,,,
United States,1999,40,,,,
United States,2000,7,,,,
United States,2001,16515,,,,
United States,2002,11,,,,
United States,2003,0,,,,
United States,2004,0,,,,
United States,2005,0,,,,
United States,2006,14,,,,
United States,2007,0,,,,
United States,2008,13,,,,
United States,2009,41,,,,
United States,2010,17,,,,
United States,2011,2,,,,
United States,2012,7,,,,
United States,2013,436,,,,
United States,2014,19,,,,
United States,2015,58,,,,
United States,2016,139,,,,
United States,2017,932,,,,
Iran,1970,1,,,,
Iran,1971,0,,,,
Iran,1972,3,,,,
Iran,1973,0,,,,
Iran,1974,0,,,,
Iran,1975,0,,,,
Iran,1976,0,,,,
Iran,1977,1,,,,
Iran,1978,60,,,,
Iran,1979,251,,,,
Iran,1980,381,,,,
Iran,1981,263,,,,
Iran,1982,985,,,,
Iran,1983,6,,,,
Iran,1984,355,,,,
Iran,1985,52,,,,
Iran,1986,144,,,,
Iran,1987,0,,,,
Iran,1988,7,,,,
Iran,1989,0,,,,
Iran,1990,2,,,,
Iran,1991,0,,,,
Iran,1992,5,,,,
Iran,1994,327,,,,
Iran,1995,11,,,,
Iran,1996,2,,,,
Iran,1998,6,,,,
Iran,1999,16,,,,
Iran,2000,29,,,,
Iran,2001,0,,,,
Iran,2003,0,,,,
Iran,2005,191,,,,
Iran,2006,41,,,,
Iran,2007,5,,,,
Iran,2008,220,,,,
Iran,2009,83,,,,
Iran,2010,450,,,,
Iran,2011,13,,,,
Iran,2012,11,,,,
Iran,2013,17,,,,
Iran,2014,5,,,,
Iran,2015,11,,,,
Iran,2016,8,,,,
Iran,2017,67,,,,
Saudi Arabia,1977,0,,,,
Saudi Arabia,1979,10,,,,
Saudi Arabia,1984,1,,,,
Saudi Arabia,1985,3,,,,
Saudi Arabia,1986,32,,,,
Saudi Arabia,1988,0,,,,
Saudi Arabia,1989,16,,,,
Saudi Arabia,1991,6,,,,
Saudi Arabia,1994,0,,,,
Saudi Arabia,1995,161,,,,
Saudi Arabia,1996,386,,,,
Saudi Arabia,2000,5,,,,
Saudi Arabia,2001,7,,,,
Saudi Arabia,2002,0,,,,
Saudi Arabia,2003,128,,,,
Saudi Arabia,2004,293,,,,
Saudi Arabia,2005,0,,,,
Saudi Arabia,2006,8,,,,
Saudi Arabia,2007,1,,,,
Saudi Arabia,2009,13,,,,
Saudi Arabia,2011,15,,,,
Saudi Arabia,2012,10,,,,
Saudi Arabia,2013,2,,,,
Saudi Arabia,2014,23,,,,
Saudi Arabia,2015,281,,,,
Saudi Arabia,2016,196,,,,
Saudi Arabia,2017,69,,,,
Turkey,1970,1,,,,
Turkey,1971,0,,,,
Turkey,1972,5,,,,
Turkey,1974,1,,,,
Turkey,1975,0,,,,
Turkey,1976,23,,,,
Turkey,1977,89,,,,
Turkey,1978,111,,,,
Turkey,1979,118,,,,
Turkey,1980,61,,,,
Turkey,1981,11,,,,
Turkey,1982,71,,,,
Turkey,1983,24,,,,
Turkey,1984,19,,,,
Turkey,1985,0,,,,
Turkey,1986,7,,,,
Turkey,1987,80,,,,
Turkey,1988,21,,,,
Turkey,1989,53,,,,
Turkey,1990,219,,,,
Turkey,1991,300,,,,
Turkey,1992,537,,,,
Turkey,1994,452,,,,
Turkey,1995,216,,,,
Turkey,1996,92,,,,
